D1,D2,D3,D4,D5,S1,S2,S3,S4,medsq2,precmed
-2.490216494,-1.308264852,1.584670782,0.013170943,-0.571681201,-1.848955512,-0.901474357,0.840017796,0.287495911,1303,167110
-2.469774246,-1.308301091,1.152787089,0.115757242,-0.768404901,-1.738491893,-0.309356809,0.878918111,0.765601397,1517,138196
9.507835388,0.090908796,-0.076620758,-4.58507967,0.324380755,5.167057991,0.523186386,-0.798339605,0.071362719,1381,125761
8.132071495,0.724303901,0.307327509,5.909300804,0.329140872,2.740739584,0.98930645,0.607442737,0.207210734,#N/A,243435
0.620359302,1.848405838,0.217423648,1.168891311,0.300409555,1.466201186,-0.391142249,-0.827844262,0.053581119,1969,316280
12.8280611,0.401818424,-1.039198279,-2.157533646,-0.547855496,7.156478882,0.553521335,-0.476817369,-0.58060807,1770,243735
6.353895664,3.162993431,2.710924625,-2.028768539,0.010992236,2.718042135,-0.90326488,-0.560195684,0.675773919,1471,204562
8.12420845,4.516785622,2.250054121,1.854241848,-0.526990891,3.979342937,-0.906760514,-0.512855709,0.741057873,1646,152078
0.218821779,0.54113096,-0.018573627,0.794805706,1.315875053,1.116906524,-0.612991571,-0.511131525,0.313023865,1457,131097
-2.309612513,-0.484902918,-0.561220825,-0.573409319,1.655734062,-1.850494385,0.552807391,0.256453812,0.481103987,1872,151632
-1.825083375,-0.14306277,0.540788472,-0.0830843,1.297597289,-1.139756441,-0.069204986,0.066581368,0.102219686,#N/A,45420
-1.191827536,-0.172608599,0.587536991,0.054693535,1.384016991,-1.088031769,-0.332481712,0.26662761,0.705172837,1848,204514
-2.154613256,-0.236036211,0.881920695,-0.172665551,1.66602385,-1.827101588,-0.438525379,0.396021336,0.61364162,742,65649
-2.22525692,-0.679749429,0.762527943,-0.036717907,1.033771157,-1.773528337,-0.344627202,0.724989295,0.562770188,664,57430
-2.260712385,-1.191022515,0.235834941,0.07854975,-1.024980068,-1.563005447,-0.054917365,0.343507856,-0.813746333,932,70467
1.491696119,1.038218737,-0.664983511,0.812095046,1.463800073,1.099936247,0.503467202,-0.657039762,-0.447434187,682,53444
-2.561674356,-1.292980194,0.90715456,0.073734581,-1.130435109,-2.120021343,-0.501174808,0.800169051,-0.699423611,664,42149
1.677709341,1.128615499,-0.30154267,0.691294193,1.465275645,1.736057758,0.116349652,-0.078884751,-0.015530507,692,40599
-2.05804348,-1.049418569,-0.587459207,0.04638692,-1.141799808,-2.079829216,0.148846537,0.641903818,0.155091375,#N/A,45632
-1.916638613,-0.334494561,1.063791633,-0.543389201,1.376576424,-1.619275451,-0.616571426,0.596502602,-0.025928702,#N/A,34924
-2.304838181,-1.459686279,-1.345957756,-0.377325118,-1.846622944,-2.269000053,0.754796565,0.44642216,-0.102838933,896,93936
-2.694096804,-1.539349914,1.086846232,0.015000599,-1.198049664,-2.121526241,-0.537346482,0.869953096,-0.997546375,1279,138946
3.686830044,3.488330364,-0.424798101,3.840364695,1.254444957,3.075299263,-0.600897729,-0.611591399,0.570352435,741,54490
-0.998889089,0.197407439,0.737781465,-0.066350907,0.242911488,-0.009006321,-1.240569592,0.019421935,-0.893090844,689,44083
-1.710804224,-0.441597074,0.975024045,-0.031787083,0.551833093,-0.92108047,-1.189738631,0.839586318,-0.98929441,870,51633
-1.03610909,0.139931411,-0.071219921,0.048839778,-0.196096182,-0.519885302,-1.012091279,0.197572961,-0.705350339,701,38065
-1.213967681,-0.057785407,-0.884889722,0.395320922,0.275235713,-0.832544088,1.737857819,-0.754688382,0.422079563,560,45887
-1.670956373,-0.372874737,-0.905426264,-0.050265357,-0.534978926,-0.846995115,1.016921878,-0.628216922,0.541522324,691,44219
0.370910078,0.413737357,-1.186036348,0.796641111,0.138884902,0.134617865,1.723284006,-0.616608262,0.821363568,660,47584
-0.865746856,-0.464144796,-1.000010014,0.122802615,-0.199875534,-0.452160031,1.036801696,-0.626070201,-0.362006187,726,42346
-0.356698394,0.680235267,-3.757635355,-0.347111195,0.973854244,-0.237745926,1.803430319,-0.638516605,-0.679017484,600,32285
-1.431940436,-0.253449708,1.030228853,-0.299458802,0.201587707,-0.818368793,-1.645215511,0.640992045,-0.994196355,#N/A,19772
-1.235328197,-0.53192091,-1.256404996,-0.220059708,-0.438861728,-0.393302023,1.398278236,-0.724200249,0.26648286,702,49463
-1.427606344,-0.044736236,-3.337814808,-0.581654429,-0.085348055,-0.226988554,2.106068611,-0.226050854,0.115149051,778,69865
0.130487129,-0.146633327,1.294717789,-1.01789999,0.152644277,0.072857358,-1.684197903,0.402836502,-0.594327867,666,41899
